Source Port,Destination Port,NAT Source Port,NAT Destination Port,Action,Bytes,Bytes Sent,Bytes Received,Packets,Elapsed Time (sec),pkts_sent,pkts_received,anomaly,anomaly_reason
6881,50321,43265,50321,allow,238,118,120,2,1199,1,1,1,"High deviation in NAT Destination Port, Destination Port, Elapsed Time (sec)"
60513,47094,45469,47094,allow,320,140,180,6,7,3,3,1,"High deviation in pkts_sent, NAT Destination Port, Destination Port"
34529,443,30445,443,allow,62652,30891,31761,158,381,67,91,1,"High deviation in pkts_sent, Bytes Sent, Bytes"
59347,80,59347,80,allow,108790,4633,104157,192,15,66,126,1,"High deviation in pkts_sent, Bytes Received, Bytes"
63842,45682,31353,45682,allow,4687209,3850148,837061,4974,107,3004,1970,1,"High deviation in pkts_sent, Bytes Sent, Bytes"
52103,80,61932,80,allow,68083,5515,62568,90,38,40,50,1,"High deviation in pkts_sent, Bytes Received, Bytes"
50685,80,6959,80,allow,63891,26626,37265,86,34,39,47,1,"High deviation in pkts_sent, Bytes Sent, Bytes"
46265,443,19534,443,allow,173828,9311,164517,245,448,118,127,1,"High deviation in pkts_sent, Bytes Received, Bytes"
52715,443,38027,443,allow,164840,5975,158865,179,122,61,118,1,"High deviation in pkts_sent, Bytes Received, Bytes"
61396,443,45721,443,allow,550484,8433,542051,541,246,99,442,1,"High deviation in pkts_sent, Bytes Received, Bytes"
61273,443,55960,443,allow,19675,8597,11078,137,480,68,69,1,"High deviation in pkts_sent, Bytes Sent, Bytes"
36036,443,36036,443,allow,261234,32183,229051,326,212,153,173,1,"High deviation in pkts_sent, Bytes Received, Bytes"
57470,20220,32069,20220,allow,870,330,540,12,2308,6,6,1,"High deviation in pkts_sent, NAT Destination Port, Elapsed Time (sec)"
33856,443,15413,443,allow,8171028,105740,8065288,6637,149,745,5892,1,"High deviation in pkts_sent, Bytes Received, Bytes"
59983,443,26904,443,allow,296863,14073,282790,351,127,130,221,1,"High deviation in pkts_sent, Bytes Received, Bytes"
15503,63425,41497,63425,allow,481,150,331,2,1200,1,1,1,"High deviation in NAT Destination Port, Destination Port, Elapsed Time (sec)"
5886,80,5886,80,allow,138678,5557,133121,152,16,58,94,1,"High deviation in pkts_sent, Bytes Received, Bytes"
51221,64767,41578,64767,allow,330,330,0,6,1200,6,0,1,"High deviation in pkts_sent, NAT Destination Port, Destination Port"
56717,80,40230,80,allow,3894448,104279,3790169,4041,97,1411,2630,1,"High deviation in pkts_sent, Bytes Received, Bytes"
49359,443,64650,443,allow,63494,7222,56272,107,81,49,58,1,"High deviation in pkts_sent, Bytes Received, Bytes"
38717,443,31292,443,allow,958865,18695,940170,908,16,266,642,1,"High deviation in pkts_sent, Bytes Received, Bytes"
57138,443,59763,443,allow,70379,4205,66174,101,403,51,50,1,"High deviation in pkts_sent, Bytes Received, Bytes"
43088,5228,50878,5228,allow,4708,1753,2955,27,4133,12,15,1,"High deviation in pkts_sent, Elapsed Time (sec), NAT Destination Port"
37647,443,55661,443,allow,697381,19797,677584,725,106,247,478,1,"High deviation in pkts_sent, Bytes Received, Bytes"
65524,443,51488,443,allow,282968,9210,273758,296,15,106,190,1,"High deviation in pkts_sent, Bytes Received, Bytes"
51221,51413,17316,51413,allow,460,150,310,2,1200,1,1,1,"High deviation in NAT Destination Port, Destination Port, Elapsed Time (sec)"
65525,443,9387,443,allow,92247,4799,87448,107,15,43,64,1,"High deviation in pkts_sent, Bytes Received, Bytes"
10151,11888,57602,11888,allow,491,150,341,2,1200,1,1,1,"High deviation in NAT Destination Port, Elapsed Time (sec), Destination Port"
64093,64828,53558,64828,allow,70,70,0,1,4,1,0,1,"High deviation in NAT Destination Port, Destination Port, NAT Source Port"
54401,443,33851,443,allow,11527127,373718,11153409,12286,144,4090,8196,1,"High deviation in pkts_sent, Bytes Received, Bytes"
52486,443,26318,443,allow,57366,41661,15705,111,440,66,45,1,"High deviation in pkts_sent, Bytes Sent, Bytes"
44323,5228,8392,5228,allow,7292,4509,2783,50,6392,25,25,1,"High deviation in pkts_sent, Elapsed Time (sec), Bytes Sent"
57470,13613,53702,13613,allow,1577,594,983,20,1638,10,10,1,"High deviation in pkts_sent, NAT Destination Port, Elapsed Time (sec)"
28007,443,40494,443,allow,31586,15587,15999,213,884,105,108,1,"High deviation in pkts_sent, Bytes Sent, Bytes"
53895,443,16317,443,allow,375374,160846,214528,633,1412,294,339,1,"High deviation in pkts_sent, Bytes Sent, Bytes"
52234,64624,43132,64624,allow,136,136,0,3,14,3,0,1,"High deviation in pkts_sent, NAT Destination Port, Destination Port"
57575,443,57575,443,allow,206737,25710,181027,212,180,75,137,1,"High deviation in pkts_sent, Bytes Received, Bytes"
57573,443,57573,443,allow,775362,32338,743024,683,180,169,514,1,"High deviation in pkts_sent, Bytes Received, Bytes"
57570,443,57570,443,allow,175212,28668,146544,186,180,69,117,1,"High deviation in pkts_sent, Bytes Received, Bytes"
53527,443,25088,443,allow,127391,26326,101065,179,172,76,103,1,"High deviation in pkts_sent, Bytes Received, Bytes"
56597,443,50431,443,allow,10135129,248530,9886599,9808,64,3124,6684,1,"High deviation in pkts_sent, Bytes Received, Bytes"
64114,64126,30827,64126,allow,66,66,0,2,8,2,0,1,"High deviation in pkts_sent, NAT Destination Port, Destination Port"
53527,5228,55667,5228,allow,9674,1776,7898,29,3764,11,18,1,"High deviation in pkts_sent, Elapsed Time (sec), Bytes Received"
51152,443,11725,443,allow,44048,4441,39607,97,317,43,54,1,"High deviation in pkts_sent, Bytes Received, Bytes"
42625,443,18977,443,allow,218298,5904,212394,220,120,63,157,1,"High deviation in pkts_sent, Bytes Received, Bytes"
52102,443,62995,443,allow,343074,14649,328425,390,41,159,231,1,"High deviation in pkts_sent, Bytes Received, Bytes"
57470,21158,39017,21158,allow,2182,798,1384,19,1199,10,9,1,"High deviation in pkts_sent, NAT Destination Port, Elapsed Time (sec)"
52258,58792,14441,58792,allow,316,136,180,6,8,3,3,1,"High deviation in pkts_sent, NAT Destination Port, Destination Port"
51817,443,24496,443,allow,2811130,115323,2695807,3382,206,1445,1937,1,"High deviation in pkts_sent, Bytes Received, Bytes"
51221,49857,1668,49857,allow,791,266,525,8,1200,4,4,1,"High deviation in pkts_sent, NAT Destination Port, Destination Port"
53973,50546,28275,50546,allow,2069,1081,988,12,16,7,5,1,"High deviation in pkts_sent, NAT Destination Port, Destination Port"
64081,59517,43134,59517,allow,504,382,122,8,16,6,2,1,"High deviation in pkts_sent, NAT Destination Port, Destination Port"
52229,54711,46262,54711,allow,136,136,0,3,14,3,0,1,"High deviation in pkts_sent, NAT Destination Port, Destination Port"
52048,80,14488,80,allow,41486,20844,20642,64,37,32,32,1,"High deviation in pkts_sent, Bytes Sent, Bytes"
53176,58851,59130,58851,allow,70,70,0,2,8,2,0,1,"High deviation in pkts_sent, NAT Destination Port, Destination Port"
59949,80,40471,80,allow,730296,15564,714732,723,57,218,505,1,"High deviation in pkts_sent, Bytes Received, Bytes"
43225,443,17321,443,allow,3831584,85342,3746242,3246,110,597,2649,1,"High deviation in pkts_sent, Bytes Received, Bytes"
43227,443,35933,443,allow,1139403,49178,1090225,1155,108,353,802,1,"High deviation in pkts_sent, Bytes Received, Bytes"
50584,51413,16088,51413,allow,475,150,325,2,1200,1,1,1,"High deviation in NAT Destination Port, Destination Port, Elapsed Time (sec)"
51221,40624,20030,40624,allow,594,594,0,10,1200,10,0,1,"High deviation in pkts_sent, NAT Destination Port, Destination Port"
19473,45556,7986,45556,allow,469,150,319,2,1200,1,1,1,"High deviation in NAT Destination Port, Destination Port, Elapsed Time (sec)"
30188,12494,61043,12494,allow,502,150,352,2,1200,1,1,1,"High deviation in NAT Destination Port, Elapsed Time (sec), Destination Port"
21133,51413,43233,51413,allow,460,150,310,2,1200,1,1,1,"High deviation in NAT Destination Port, Destination Port, Elapsed Time (sec)"
49564,443,50036,443,allow,180388,3938,176450,145,161,20,125,1,"High deviation in pkts_sent, Bytes Received, Bytes"
45315,80,28283,80,allow,6087687,127446,5960241,5920,28,1981,3939,1,"High deviation in pkts_sent, Bytes Received, Bytes"
49483,7000,49483,7000,allow,755531,16955,738576,785,16,265,520,1,"High deviation in pkts_sent, Bytes Received, Bytes"
52025,80,59666,80,allow,87927,9680,78247,101,37,40,61,1,"High deviation in pkts_sent, Bytes Received, Bytes"
6881,64422,29110,64422,allow,219,111,108,2,1201,1,1,1,"High deviation in NAT Destination Port, Destination Port, Elapsed Time (sec)"
50822,443,34134,443,allow,89322,8569,80753,102,316,31,71,1,"High deviation in pkts_sent, Bytes Received, Bytes"
51263,443,47905,443,allow,143597,6963,136634,206,439,103,103,1,"High deviation in pkts_sent, Bytes Received, Bytes"
56285,443,32543,443,allow,185763,7360,178403,201,120,68,133,1,"High deviation in pkts_sent, Bytes Received, Bytes"
40074,443,9837,443,allow,412322,17503,394819,466,140,167,299,1,"High deviation in pkts_sent, Bytes Received, Bytes"
55226,443,25011,443,allow,711879,19394,692485,724,98,238,486,1,"High deviation in pkts_sent, Bytes Received, Bytes"
52101,443,56883,443,allow,5706850,104758,5602092,5170,41,1379,3791,1,"High deviation in pkts_sent, Bytes Received, Bytes"
60407,443,48240,443,allow,308771,8699,300072,322,30,112,210,1,"High deviation in pkts_sent, Bytes Received, Bytes"
53169,44707,23330,44707,allow,1078,518,560,16,21,9,7,1,"High deviation in pkts_sent, NAT Destination Port, Destination Port"
55729,63805,38910,63805,allow,70,70,0,2,8,2,0,1,"High deviation in pkts_sent, NAT Destination Port, Destination Port"
26900,27017,38585,27017,allow,6466,3520,2946,38,46,21,17,1,"High deviation in pkts_sent, NAT Destination Port, Bytes Sent"
34750,80,47643,80,allow,111678,5254,106424,150,240,71,79,1,"High deviation in pkts_sent, Bytes Received, Bytes"
43199,5228,42030,5228,allow,10588,2455,8133,46,5724,19,27,1,"High deviation in pkts_sent, Elapsed Time (sec), Bytes"
59342,80,59342,80,allow,107768,4073,103695,177,15,58,119,1,"High deviation in pkts_sent, Bytes Received, Bytes"
58957,80,23483,80,allow,13330975,109486,13221489,10177,23,1394,8783,1,"High deviation in pkts_sent, Bytes Received, Bytes"
54898,443,54771,443,allow,78537,4022,74515,120,386,55,65,1,"High deviation in pkts_sent, Bytes Received, Bytes"
37965,56605,48626,56605,allow,847,152,695,4,1201,2,2,1,"High deviation in pkts_sent, NAT Destination Port, Destination Port"
64082,43786,41878,43786,allow,504,382,122,8,14,6,2,1,"High deviation in pkts_sent, NAT Destination Port, Destination Port"
64122,443,27502,443,allow,5121090,119252,5001838,5000,55,1680,3320,1,"High deviation in pkts_sent, Bytes Received, Bytes"
38135,80,24108,80,allow,111328,4904,106424,145,240,66,79,1,"High deviation in pkts_sent, Bytes Received, Bytes"
58991,443,64156,443,allow,972647,20727,951920,916,263,245,671,1,"High deviation in pkts_sent, Bytes Received, Bytes"
54030,443,52354,443,allow,249900,26024,223876,450,167,183,267,1,"High deviation in pkts_sent, Bytes Received, Bytes"
52218,62004,11964,62004,allow,136,136,0,3,12,3,0,1,"High deviation in pkts_sent, NAT Destination Port, Destination Port"
60502,61473,62296,61473,allow,1628,1037,591,14,16,8,6,1,"High deviation in pkts_sent, NAT Destination Port, Destination Port"
44246,5228,57956,5228,allow,19678,4762,14916,98,9851,54,44,1,"High deviation in pkts_sent, Elapsed Time (sec), Bytes Sent"
49231,443,44532,443,allow,474745,13542,461203,502,17,189,313,1,"High deviation in pkts_sent, Bytes Received, Bytes"
65522,443,46739,443,allow,399281,11940,387341,412,16,145,267,1,"High deviation in pkts_sent, Bytes Received, Bytes"
49126,443,33194,443,allow,3800867,77753,3723114,3263,625,478,2785,1,"High deviation in pkts_sent, Bytes Received, Bytes"
49591,5228,57295,5228,allow,18548,2772,15776,41,3957,17,24,1,"High deviation in pkts_sent, Elapsed Time (sec), Bytes Received"
61445,443,34767,443,allow,97211,3043,94168,109,121,37,72,1,"High deviation in pkts_sent, Bytes Received, Bytes"
49160,33586,34033,33586,allow,1377,300,1077,6,1200,3,3,1,"High deviation in pkts_sent, NAT Destination Port, Destination Port"
65066,80,65066,80,allow,874843,22526,852317,878,44,304,574,1,"High deviation in pkts_sent, Bytes Received, Bytes"
60503,53425,43534,53425,allow,504,318,186,8,16,5,3,1,"High deviation in pkts_sent, NAT Destination Port, Destination Port"
54892,443,40724,443,allow,602278,26008,576270,748,396,317,431,1,"High deviation in pkts_sent, Bytes Received, Bytes"
52213,56682,55020,56682,allow,66,66,0,1,5,1,0,1,"High deviation in NAT Destination Port, Destination Port, NAT Source Port"
49315,443,55462,443,allow,160961,7302,153659,171,87,49,122,1,"High deviation in pkts_sent, Bytes Received, Bytes"
43056,443,9640,443,allow,31297,21354,9943,55,363,28,27,1,"High deviation in pkts_sent, Bytes Sent, Bytes"
6881,16869,32052,16869,allow,509,150,359,2,1200,1,1,1,"High deviation in NAT Destination Port, Elapsed Time (sec), Destination Port"
53972,59089,19075,59089,allow,70,70,0,1,4,1,0,1,"High deviation in NAT Destination Port, Destination Port, NAT Source Port"
65523,443,11792,443,allow,92518,4869,87649,109,15,44,65,1,"High deviation in pkts_sent, Bytes Received, Bytes"
64083,63666,39336,63666,allow,70,70,0,1,4,1,0,1,"High deviation in NAT Destination Port, Destination Port, NAT Source Port"
52111,53162,33838,53162,allow,1330,706,624,10,33,6,4,1,"High deviation in pkts_sent, NAT Destination Port, Destination Port"
52124,443,40698,443,allow,78269,5330,72939,127,313,57,70,1,"High deviation in pkts_sent, Bytes Received, Bytes"
58877,443,35023,443,allow,183394,7389,176005,219,108,87,132,1,"High deviation in pkts_sent, Bytes Received, Bytes"
55845,443,55416,443,allow,505207,16025,489182,464,139,97,367,1,"High deviation in pkts_sent, Bytes Received, Bytes"
38001,49152,63633,49152,allow,156,156,0,3,8,3,0,1,"High deviation in pkts_sent, NAT Destination Port, Destination Port"
56746,80,35139,80,allow,876072,26350,849722,935,27,335,600,1,"High deviation in pkts_sent, Bytes Received, Bytes"
6881,51413,34368,51413,allow,207,118,89,2,1199,1,1,1,"High deviation in NAT Destination Port, Destination Port, Elapsed Time (sec)"
57470,31566,19027,31566,allow,481,150,331,2,1199,1,1,1,"High deviation in NAT Destination Port, Destination Port, Elapsed Time (sec)"
57470,15564,5143,15564,allow,1577,594,983,20,1624,10,10,1,"High deviation in pkts_sent, NAT Destination Port, Elapsed Time (sec)"
45316,80,11125,80,allow,3044854,64416,2980438,2968,19,997,1971,1,"High deviation in pkts_sent, Bytes Received, Bytes"
55877,54210,39473,54210,allow,490,149,341,2,1200,1,1,1,"High deviation in NAT Destination Port, Destination Port, Elapsed Time (sec)"
36515,80,38433,80,allow,51571,48786,2785,74,19,38,36,1,"High deviation in pkts_sent, Bytes Sent, Bytes"
52948,48482,33406,48482,allow,5180,2470,2710,49,339,25,24,1,"High deviation in pkts_sent, NAT Destination Port, Destination Port"
60507,53830,57450,53830,allow,320,140,180,6,6,3,3,1,"High deviation in pkts_sent, NAT Destination Port, Destination Port"
52244,58774,22208,58774,allow,70,70,0,2,6,2,0,1,"High deviation in pkts_sent, NAT Destination Port, Destination Port"
38715,443,52129,443,allow,403299,12717,390582,439,16,171,268,1,"High deviation in pkts_sent, Bytes Received, Bytes"
30188,56962,59522,56962,allow,2746,1487,1259,21,2495,14,7,1,"High deviation in pkts_sent, NAT Destination Port, Elapsed Time (sec)"
55053,80,18063,80,allow,162010,4343,157667,170,98,61,109,1,"High deviation in pkts_sent, Bytes Received, Bytes"
57575,443,3355,443,allow,707158,36853,670305,902,148,310,592,1,"High deviation in pkts_sent, Bytes Received, Bytes"
57470,36670,48397,36670,allow,3570,1126,2444,28,1465,16,12,1,"High deviation in pkts_sent, NAT Destination Port, Elapsed Time (sec)"
57571,443,57571,443,allow,881747,19604,862143,728,175,144,584,1,"High deviation in pkts_sent, Bytes Received, Bytes"
57572,443,57572,443,allow,181333,21870,159463,187,175,65,122,1,"High deviation in pkts_sent, Bytes Received, Bytes"
53984,57077,13402,57077,allow,70,70,0,2,8,2,0,1,"High deviation in pkts_sent, NAT Destination Port, Destination Port"
39683,443,12229,443,allow,101895,6430,95465,152,175,66,86,1,"High deviation in pkts_sent, Bytes Received, Bytes"
6882,30499,61301,30499,allow,150,150,0,1,1200,1,0,1,"High deviation in NAT Destination Port, Elapsed Time (sec), Destination Port"
53124,443,9153,443,allow,64407,55712,8695,92,364,58,34,1,"High deviation in pkts_sent, Bytes Sent, Bytes"
58873,443,27496,443,allow,1855088,42017,1813071,1821,49,531,1290,1,"High deviation in pkts_sent, Bytes Received, Bytes"
53960,61038,13704,61038,allow,552,306,246,9,14,5,4,1,"High deviation in pkts_sent, NAT Destination Port, Destination Port"
52202,64241,19062,64241,allow,250,66,184,4,9,2,2,1,"High deviation in pkts_sent, NAT Destination Port, Destination Port"
57574,443,57574,443,allow,164451,18310,146141,163,175,52,111,1,"High deviation in pkts_sent, Bytes Received, Bytes"
64093,64828,28561,64828,allow,66,66,0,2,7,2,0,1,"High deviation in pkts_sent, NAT Destination Port, Destination Port"
